Column1,Column2,Column3,Column4
424,128,11,11
425,128,11,11
426,128,11,11
427,128,11,11
428,127,10,13
429,127,10,13
430,127,10,13
431,127,10,13
432,127,10,13
433,127,10,13
434,127,10,13
435,127,10,13
436,127,10,13
437,127,10,13
438,127,10,13
439,127,10,13
440,126,11,13
441,126,11,13
442,126,11,13
443,126,11,13
444,126,11,13
445,126,11,13
446,126,11,13
447,126,11,13
448,126,11,13
449,126,11,13
450,126,11,13
451,126,11,13
452,126,11,13
453,126,11,13
454,126,11,13
455,126,11,13
456,126,11,13
457,126,11,13
458,126,11,13
459,126,11,13
460,126,11,13
461,126,11,13
462,126,11,13
463,126,11,13
464,126,10,14
465,126,10,14
466,126,10,14
467,126,10,14
468,126,10,14
469,126,10,14
470,126,10,14
471,126,10,14
472,126,10,14
473,126,10,14
474,126,10,14
475,126,10,14
476,126,10,14
477,126,10,14
478,126,10,14
479,126,10,14
480,126,10,14
481,126,10,14
482,125,10,15
483,125,10,15
484,125,10,15
485,125,10,15
486,125,10,15
487,125,10,15
488,125,10,15
489,125,10,15
490,125,10,15
491,125,10,15
492,125,9,16
493,125,9,16
494,125,9,16
495,125,9,16
496,125,9,16
497,125,9,16
498,125,8,17
499,125,8,17
500,125,8,17
501,125,8,17
502,125,8,17
503,125,8,17
504,125,8,17
505,125,8,17
506,125,8,17
507,125,8,17
508,125,8,17
509,125,8,17
510,125,8,17
511,125,8,17
512,125,8,17
513,125,8,17
514,125,8,17
515,125,8,17
516,125,8,17
517,125,8,17
518,125,8,17
519,125,8,17
520,125,8,17
521,125,8,17
522,125,8,17
523,125,8,17
524,125,8,17
525,125,8,17
526,125,8,17
527,125,8,17
528,125,8,17
529,125,8,17
530,125,8,17
531,125,8,17
532,125,8,17
533,125,8,17
534,125,8,17
535,125,8,17
536,125,8,17
537,125,8,17
538,125,8,17
539,125,8,17
540,125,8,17
541,125,8,17
542,125,8,17
543,125,8,17
544,125,7,18
545,125,7,18
546,125,7,18
547,125,7,18
548,125,7,18
549,125,7,18
550,125,7,18
551,125,7,18
552,125,7,18
553,125,7,18
554,124,8,18
555,124,8,18
556,124,8,18
557,123,9,18
558,123,9,18
559,123,9,18
560,123,9,18
561,123,9,18
562,123,8,19
563,123,8,19
564,123,8,19
565,123,8,19
566,123,8,19
567,123,8,19
568,123,8,19
569,123,8,19
570,123,8,19
571,123,8,19
572,123,8,19
573,123,8,19
574,123,8,19
575,123,8,19
576,123,8,19
577,123,8,19
578,123,8,19
579,123,8,19
580,123,8,19
581,123,8,19
582,123,8,19
583,123,8,19
584,123,7,20
585,123,7,20
586,123,7,20
587,123,7,20
588,123,7,20
589,123,7,20
590,123,7,20
591,123,7,20
592,123,7,20
593,123,7,20
594,123,7,20
595,123,7,20
596,123,7,20
597,123,7,20
598,122,8,20
599,122,7,21
600,122,7,21
601,122,7,21
602,122,7,21
603,122,7,21
604,122,7,21
605,122,7,21
606,122,7,21
607,122,7,21
608,122,7,21
609,122,7,21
610,120,9,21
611,120,8,22
612,120,8,22
613,120,8,22
614,120,8,22
615,119,9,22
616,119,8,23
617,119,8,23
618,119,8,23
619,119,8,23
620,118,9,23
621,118,8,24
622,118,8,24
623,118,8,24
624,118,8,24
625,118,8,24
626,118,8,24
627,118,8,24
628,118,8,24
629,118,8,24
630,118,8,24
631,118,8,24
632,118,8,24
633,118,8,24
634,118,8,24
